Metric,Unit,Value
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,74.52
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,25
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,0.21
sm__warps_active.avg.pct_of_peak_sustained_active,%,6.24
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.02
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,99.77
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,99.77
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,0.39
sm__warps_active.avg.pct_of_peak_sustained_active,%,12.28
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.04
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,99.77
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,12.50
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,0.01
sm__warps_active.avg.pct_of_peak_sustained_active,%,10.60
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.02
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,45.83
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,12.50
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,44.79
sm__warps_active.avg.pct_of_peak_sustained_active,%,20.09
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.07
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,74.52
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,25
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,0.21
sm__warps_active.avg.pct_of_peak_sustained_active,%,6.24
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.02
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,99.77
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,99.77
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,0.40
sm__warps_active.avg.pct_of_peak_sustained_active,%,12.28
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.04
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,99.77
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,12.50
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,0.01
sm__warps_active.avg.pct_of_peak_sustained_active,%,10.56
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.02
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,45.83
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,12.50
